DATE,IPG3113N
1/1/1972,85.6973
2/1/1972,71.8229
3/1/1972,66.0235
4/1/1972,64.5634
5/1/1972,65.0068
6/1/1972,67.6402
7/1/1972,69.0327
8/1/1972,70.8222
9/1/1972,75.0265
10/1/1972,106.8949
11/1/1972,105.5594
12/1/1972,105.9292
1/1/1973,91.2673
2/1/1973,77.2449
3/1/1973,69.5919
4/1/1973,70.2829
5/1/1973,71.6712
6/1/1973,74.8577
7/1/1973,72.0464
8/1/1973,73.179
9/1/1973,80.5971
10/1/1973,102.9257
11/1/1973,109.2522
12/1/1973,105.2115
1/1/1974,88.6804
2/1/1974,83.5839
3/1/1974,77.2
4/1/1974,67.2894
5/1/1974,74.583
6/1/1974,79.5488
7/1/1974,66.0272
8/1/1974,71.1639
9/1/1974,70.1639
10/1/1974,99.2245
11/1/1974,101.1416
12/1/1974,86.935
1/1/1975,67.0621
2/1/1975,52.7485
3/1/1975,50.7187
4/1/1975,59.8096
5/1/1975,60.868
6/1/1975,63.3891
7/1/1975,62.3154
8/1/1975,66.8788
9/1/1975,66.2627
10/1/1975,96.2069
11/1/1975,105.428
12/1/1975,101.9348
1/1/1976,87.6979
2/1/1976,74.9372
3/1/1976,61.8057
4/1/1976,64.2862
5/1/1976,70.3791
6/1/1976,68.0958
7/1/1976,69.2696
8/1/1976,71.6374
9/1/1976,77.0449
10/1/1976,108.193
11/1/1976,112.0436
12/1/1976,114.4175
1/1/1977,97.7633
2/1/1977,90.3583
3/1/1977,77.5275
4/1/1977,76.2014
5/1/1977,78.0043
6/1/1977,78.2863
7/1/1977,75.7659
8/1/1977,78.0094
9/1/1977,84.0392
10/1/1977,108.8935
11/1/1977,105.8507
12/1/1977,112.7125
1/1/1978,89.8599
2/1/1978,80.2746
3/1/1978,76.3254
4/1/1978,77.3344
5/1/1978,76.6714
6/1/1978,78.1844
7/1/1978,72.5061
8/1/1978,75.9697
9/1/1978,82.8131
10/1/1978,105.1427
11/1/1978,111.7887
12/1/1978,114.17
1/1/1979,98.7017
2/1/1979,84.8136
3/1/1979,81.0884
4/1/1979,77.1663
5/1/1979,78.3699
6/1/1979,81.0761
7/1/1979,74.7684
8/1/1979,77.0814
9/1/1979,80.7746
10/1/1979,101.053
11/1/1979,106.676
12/1/1979,105.5656
1/1/1980,86.8726
2/1/1980,84.3785
3/1/1980,74.4295
4/1/1980,65.5146
5/1/1980,74.3157
6/1/1980,76.9527
7/1/1980,71.0121
8/1/1980,77.249
9/1/1980,77.9521
10/1/1980,100.8405
11/1/1980,106.727
12/1/1980,107.0579
1/1/1981,96.3428
2/1/1981,90.4658
3/1/1981,78.0504
4/1/1981,77.9641
5/1/1981,83.2703
6/1/1981,82.9533
7/1/1981,79.2051
8/1/1981,81.7189
9/1/1981,83.2821
10/1/1981,118.5347
11/1/1981,117.0444
12/1/1981,113.3765
1/1/1982,96.1089
2/1/1982,93.1075
3/1/1982,83.1573
4/1/1982,73.6101
5/1/1982,76.4602
6/1/1982,78.5375
7/1/1982,76.2734
8/1/1982,77.7013
9/1/1982,81.22
10/1/1982,114.0167
11/1/1982,114.824
12/1/1982,115.0775
1/1/1983,95.1094
2/1/1983,87.1361
3/1/1983,77.9279
4/1/1983,73.7015
5/1/1983,75.5448
6/1/1983,74.7531
7/1/1983,76.3232
8/1/1983,79.5523
9/1/1983,82.8951
10/1/1983,110.4532
11/1/1983,106.5195
12/1/1983,104.0115
1/1/1984,93.8582
2/1/1984,86.3342
3/1/1984,78.9101
4/1/1984,75.6727
5/1/1984,77.8794
6/1/1984,77.6588
7/1/1984,76.8928
8/1/1984,81.2126
9/1/1984,85.8619
10/1/1984,112.1395
11/1/1984,115.4821
12/1/1984,112.7876
1/1/1985,97.6612
2/1/1985,87.0985
3/1/1985,79.1263
4/1/1985,76.1922
5/1/1985,77.3164
6/1/1985,75.822
7/1/1985,75.18
8/1/1985,79.8969
9/1/1985,89.5019
10/1/1985,112.2333
11/1/1985,113.6458
12/1/1985,117.059
1/1/1986,97.3528
2/1/1986,93.6012
3/1/1986,78.7891
4/1/1986,73.6209
5/1/1986,76.4922
6/1/1986,76.7511
7/1/1986,73.3862
8/1/1986,79.5385
9/1/1986,88.4489
10/1/1986,115.9114
11/1/1986,119.4271
12/1/1986,115.4565
1/1/1987,97.2002
2/1/1987,94.303
3/1/1987,83.64
4/1/1987,77.3524
5/1/1987,78.038
6/1/1987,79.1672
7/1/1987,76.1184
8/1/1987,83.5055
9/1/1987,90.7405
10/1/1987,121.5813
11/1/1987,124.8067
12/1/1987,122.608
1/1/1988,95.7651
2/1/1988,95.2634
3/1/1988,89.8422
4/1/1988,80.8023
5/1/1988,82.4404
6/1/1988,86.7598
7/1/1988,90.7526
8/1/1988,98.0656
9/1/1988,102.5282
10/1/1988,125.7546
11/1/1988,123.5218
12/1/1988,122.4791
1/1/1989,102.9744
2/1/1989,102.3705
3/1/1989,93.4378
4/1/1989,88.7484
5/1/1989,87.9224
6/1/1989,90.5608
7/1/1989,89.718
8/1/1989,96.5388
9/1/1989,100.9795
10/1/1989,119.9705
11/1/1989,123.2305
12/1/1989,125.9077
1/1/1990,99.9142
2/1/1990,101.1406
3/1/1990,94.7878
4/1/1990,88.3775
5/1/1990,88.646
6/1/1990,92.7473
7/1/1990,96.9943
8/1/1990,102.3414
9/1/1990,108.673
10/1/1990,124.4884
11/1/1990,133.2163
12/1/1990,134.423
1/1/1991,107.4301
2/1/1991,111.3166
3/1/1991,104.6913
4/1/1991,95.9129
5/1/1991,94.7786
6/1/1991,102.552
7/1/1991,100.0624
8/1/1991,109.7505
9/1/1991,111.1791
10/1/1991,124.2234
11/1/1991,129.5159
12/1/1991,125.2167
1/1/1992,104.5419
2/1/1992,103.0053
3/1/1992,95.0909
4/1/1992,92.1581
5/1/1992,89.7731
6/1/1992,92.8296
7/1/1992,92.1029
8/1/1992,96.0869
9/1/1992,103.9939
10/1/1992,118.7994
11/1/1992,121.9914
12/1/1992,121.3187
1/1/1993,104.9586
2/1/1993,102.2036
3/1/1993,94.7659
4/1/1993,89.5801
5/1/1993,88.4323
6/1/1993,94.8179
7/1/1993,95.7218
8/1/1993,103.4317
9/1/1993,108.6371
10/1/1993,124.8317
11/1/1993,124.7995
12/1/1993,122.7609
1/1/1994,105.3184
2/1/1994,100.7304
3/1/1994,98.4635
4/1/1994,89.3076
5/1/1994,86.9946
6/1/1994,93.7759
7/1/1994,96.4371
8/1/1994,102.9646
9/1/1994,109.738
10/1/1994,123.0476
11/1/1994,123.1633
12/1/1994,124.9589
1/1/1995,107.6829
2/1/1995,99.1981
3/1/1995,96.1681
4/1/1995,94.2389
5/1/1995,93.5691
6/1/1995,98.2617
7/1/1995,98.2049
8/1/1995,102.2567
9/1/1995,107.1949
10/1/1995,120.4091
11/1/1995,123.8677
12/1/1995,128.9159
1/1/1996,104.195
2/1/1996,105.5566
3/1/1996,102.9209
4/1/1996,94.8042
5/1/1996,97.0437
6/1/1996,100.3869
7/1/1996,98.2518
8/1/1996,108.0539
9/1/1996,114.7263
10/1/1996,126.1726
11/1/1996,133.7743
12/1/1996,136.075
1/1/1997,110.573
2/1/1997,109.5949
3/1/1997,106.4976
4/1/1997,98.1188
5/1/1997,97.345
6/1/1997,101.552
7/1/1997,98.3028
8/1/1997,109.9725
9/1/1997,115.0561
10/1/1997,129.5408
11/1/1997,135.2049
12/1/1997,136.0785
